Number,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Play
414,Jalen Lecque,PHX,19,3,1,2,7.2,2.7,1,2.3,42.9,0,1,0,0.7,0.7,100,0,0,0,0.3,0.3,0,0,0.7,2.8,0,0,-6.7,No
414,Jaylen Hoard,POR,20,12,7,5,7.8,2.7,1.1,2.4,44.8,0,0.3,0,0.5,0.9,54.5,1.1,1.4,2.5,0.3,0.3,0.4,0,0.8,7.1,0,0,0.6,No
416,Justin James,SAC,23,29,10,19,7.3,2.6,1,2.6,39.2,0.3,0.9,32,0.3,0.7,52.6,0.2,0.8,1,0.5,0.3,0.2,0.3,0.5,5.9,0,0,-0.6,No
417,Matthew Dellavedova,CLE,29,46,12,34,12.3,2.6,0.9,2.8,32.8,0.2,1.5,16.4,0.5,0.6,89.3,0.3,0.9,1.1,2.6,0.9,0.3,0,1.3,8,0,0,-0.2,No
418,Chimezie Metu,SAS,22,15,7,8,4.3,2.5,1.1,1.9,55.2,0,0,0,0.4,0.5,75,0.6,0.9,1.5,0.3,0.2,0.1,0.3,0.2,5.7,0,0,0.8,No
418,Romeo Langford,BOS,20,15,13,2,9.7,2.5,0.9,1.9,50,0.1,0.7,20,0.5,0.7,80,0.3,0.5,0.9,0.2,0.3,0.3,0.2,0.7,4.9,0,0,4.1,No
420,Adam Mokoka,CHI,21,6,1,5,3.6,2.5,1,2.5,40,0.5,1.2,42.9,0,0.3,0,0.7,0,0.7,0,0,0.2,0,0.2,3.8,0,0,2.2,No
420,Amir Coffey,LAC,22,2,1,1,2.7,2.5,1,1.5,66.7,0.5,1,50,0,0,0,0,0,0,0.5,0,0,0,0.5,3.3,0,0,-3,No
420,Max Strus,CHI,23,2,0,2,3.1,2.5,1,1.5,66.7,0,0.5,0,0.5,0.5,100,0.5,0,0.5,0,0,0,0,0.5,3.1,0,0,7.5,No
420,Norvel Pelle,PHI,27,14,8,6,11.1,2.5,1.1,1.9,55.6,0,0,0,0.4,0.7,50,0.9,2.8,3.6,0.5,0.8,0.1,1.5,2.2,11.6,0,0,-2.7,No
