Number,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Play
128,Tristan Thompson,CLE,28,48,13,35,31,11.9,5,9.8,50.8,0.1,0.2,33.3,1.8,2.9,63.8,4.1,6.3,10.4,2.1,2,0.6,0.9,2.3,30.2,22,0,-7.7,No
129,Jeff Teague,ATL,31,44,16,28,26.6,11.9,3.9,8.9,43.3,0.8,2.3,36.4,3.3,3.8,87,0.5,2,2.5,5.8,2.2,0.8,0.3,2,24.8,3,0,-3,No
130,Paul Millsap,DEN,34,32,21,11,24.9,11.9,4.1,8.8,46.8,1,2.3,41.3,2.7,3,88.5,2,3.8,5.8,1.4,1.3,0.9,0.7,2.8,24.3,3,0,6.4,No
131,Lonzo Ball,NOP,22,44,17,27,31.7,11.8,4.4,11.2,39.3,2.4,6.5,36.4,0.7,1.2,55.8,1.2,4.9,6.1,6.7,2.9,1.3,0.5,1.9,31.6,11,3,-0.9,No
132,Damion Lee,GSW,27,36,9,27,28,11.8,4.1,9.9,40.9,1.4,3.9,34.5,2.3,2.6,87.4,0.8,4.2,5,2.5,1.3,0.9,0.1,2.3,23.1,3,0,-2.1,No
133,Patty Mills,SAS,31,51,22,29,23.2,11.8,4,9.3,42.9,2.4,6.2,39,1.3,1.6,81.9,0.3,1.3,1.6,2,0.9,0.8,0.1,1.4,18.7,0,0,2.6,No
134,Wendell Carter Jr.,CHI,20,37,13,24,30,11.7,4.5,8.4,53.7,0.2,0.8,21.4,2.6,3.5,73.6,3.5,6.4,9.9,1.2,1.7,0.8,0.9,3.8,28.8,17,0,0.7,No
135,Markelle Fultz,ORL,21,51,22,29,27.9,11.6,4.8,10.3,46.6,0.4,1.7,25.6,1.6,2.2,74.1,0.5,3,3.5,4.9,2.1,1.3,0.2,2,25.3,2,1,-0.7,No
136,Aron Baynes,PHX,33,33,15,18,22.9,11.5,4.4,9,49,1.3,3.8,33.3,1.3,1.8,72.1,1.6,4.1,5.8,1.9,1.2,0.2,0.6,3.5,22.4,2,0,-1.2,No
136,Moritz Wagner,WAS,22,22,7,15,20.1,11.5,4.4,7.5,58.8,1,2.5,39.3,1.6,2,83.7,1.5,4.3,5.9,1.3,2,0.7,0.6,3.8,22.2,2,0,-1.2,No
138,Jerami Grant,DEN,25,51,35,16,26,11.3,4,8.6,46.5,1.4,3.4,40,1.9,2.7,72.3,0.9,2.7,3.6,1.1,0.8,0.6,0.9,2.1,21.1,0,0,-1.3,No
139,Justise Winslow,MIA,23,11,7,4,32,11.3,4.5,11.7,38.8,0.5,2.5,22.2,1.6,2.5,66.7,1.5,5.2,6.6,4,2.2,0.6,0.5,3.5,26.3,1,0,4.7,No
140,Otto Porter Jr.,CHI,26,9,3,6,25.1,11.2,3.9,9.3,41.7,1.8,4.4,40,1.7,2.2,75,0.9,2.6,3.4,1.6,0.8,1,0.3,2.2,20.9,0,0,0.8,No
141,Jarrett Allen,BKN,21,50,23,27,27,11.2,4.4,6.8,64.4,0,0.1,0,2.4,3.9,62.9,3.1,6.6,9.7,1.4,1.2,0.6,1.5,2.4,30.2,22,0,1.3,No
142,Cody Zeller,CHA,27,48,14,34,23.1,11.2,4.4,8.5,52.1,0.4,1.4,25.4,2,2.9,68.6,2.8,4.3,7,1.5,1.3,0.7,0.4,2.6,23.9,9,0,-4.3,No
143,Coby White,CHI,19,53,19,34,24.1,11.2,4.1,10.9,37.4,1.8,5.3,34.4,1.2,1.6,73.6,0.4,3,3.4,2.3,1.5,0.7,0.1,1.6,19.6,0,0,-3.3,No
144,Cedi Osman,CLE,24,52,13,39,28.9,11,4.1,9.2,45.1,1.9,4.8,39.4,0.8,1.3,64.7,0.5,2.9,3.4,2.4,1.4,0.8,0.3,2.4,20.5,1,0,-5.4,No
144,Frank Kaminsky,PHX,26,32,12,20,22.4,11,4,8.7,45.5,1.2,3.5,34.8,1.8,2.8,67,0.9,4,4.9,2.2,1,0.4,0.3,2.2,21.4,1,0,-1,No
144,Markieff Morris,DET,30,42,14,28,22.5,11,4,8.8,45,1.7,4.2,39.3,1.4,1.8,77.3,0.5,3.4,3.9,1.5,1.6,0.6,0.2,2.4,19,1,0,-2.5,No
147,Bryn Forbes,SAS,26,51,22,29,25.3,11,3.8,9.5,40.2,2.3,6.1,36.9,1.1,1.3,82.4,0.2,1.8,2,1.8,0.9,0.5,0,1.9,16.8,0,0,-3.2,No
148,Rodney Hood,POR,27,21,8,13,29.5,11,4.1,8.2,50.6,1.7,3.4,49.3,1,1.3,77.8,0.5,3,3.4,1.5,0.9,0.8,0.2,2.2,19.4,0,0,0.2,No
149,Ish Smith,WAS,31,49,17,32,26.2,10.9,4.6,10,45.9,0.9,2.6,35.2,0.9,1.3,67.2,0.4,2.6,3,4.6,1.3,0.8,0.4,1.5,23.8,0,0,-1.9,No
150,Seth Curry,DAL,29,47,28,19,22.9,10.8,3.8,8.2,46.8,2,4.7,41.4,1.2,1.4,87.7,0.4,1.7,2.1,1.8,0.9,0.5,0.1,1.6,17.2,0,0,1.7,No
151,Steven Adams,OKC,26,45,28,17,26.7,10.7,4.4,7.4,59.7,0,0,0,1.8,3.2,58,3.3,5.9,9.2,2.6,1.4,0.7,1.1,1.9,29.6,16,0,2.7,No
152,D.J. Augustin,ORL,32,39,19,20,26,10.7,3.3,8.4,39.3,1.2,3.5,34.6,2.9,3.3,87.7,0.4,2.1,2.4,4.7,1.4,0.7,0,1.1,21.5,0,0,1.3,No
153,Danuel House Jr.,HOU,26,45,29,16,30.7,10.6,3.7,8.6,42.9,2.1,5.6,38,1.2,1.6,77.1,1,3.3,4.4,1.3,0.9,1.1,0.6,2.2,21.9,2,0,2.9,No
154,Josh Hart,NOP,24,45,17,28,28.2,10.6,3.6,8.7,41.9,2.1,5.9,35.2,1.2,1.6,75.7,1,5.4,6.4,1.6,1.2,1.1,0.4,2.7,24,7,0,-0.4,No
155,Doug McDermott,IND,28,51,31,20,21,10.6,4,8.1,48.7,2,4.3,45.2,0.7,0.8,81.4,0.4,2.2,2.6,1.1,0.6,0.1,0.1,1.7,15.5,0,0,2.5,No
156,Jake Layman,MIN,25,14,8,6,26.4,10.5,4.4,9.4,46.2,1.4,3.9,35.2,0.4,0.7,60,0.9,2.1,2.9,0.8,1.3,0.9,0.7,2.2,18.6,0,0,1.1,No
157,Christian Wood,DET,24,49,19,30,18,10.5,3.7,6.4,57,0.7,1.7,37.6,2.5,3.4,73.8,1.3,4,5.3,0.7,1.1,0.5,0.8,1.3,20.7,5,0,1.6,No
158,Troy Brown Jr.,WAS,20,46,16,30,26.2,10.5,4.1,8.8,46.2,0.8,2.4,33.3,1.5,2,75.8,1.1,4.7,5.8,2.2,1,1.2,0.1,1.9,23.7,4,0,-2.6,No
159,Ben McLemore,HOU,26,51,33,18,23.6,10.3,3.5,8,43.4,2.5,6.7,38.2,0.8,1.1,75,0.3,1.9,2.2,0.9,0.8,0.6,0.2,2.1,16.1,1,0,4.3,No
160,Garrett Temple,BKN,33,45,22,23,28.4,10.3,3.6,9.6,37.7,2,6.3,32.4,1,1.3,75,0.6,2.8,3.4,2.4,1.2,0.8,0.4,1.8,20.6,0,0,-1.2,No
161,Langston Galloway,DET,28,53,19,34,25.8,10.3,3.5,8.1,43.8,2,5,40.5,1.2,1.4,84.9,0.5,1.7,2.2,1.5,0.6,0.8,0.2,1.4,17.4,0,0,-1,No
162,Joe Ingles,UTA,32,50,32,18,30,10.3,3.6,8.1,44.2,2.1,5.1,40.6,1,1.3,77.3,0.4,3.7,4,5.1,1.8,0.9,0.1,2.1,23.9,2,0,4.6,No
163,Landry Shamet,LAC,22,34,23,11,28.6,10.3,3.4,7.9,42.9,2.4,6,39.9,1.1,1.2,90.5,0.1,2,2.1,1.9,0.8,0.4,0.2,3.1,16.6,0,0,2.2,No
164,Gary Harris,DEN,25,43,30,13,32.1,10.2,3.8,9.6,39.9,1.2,4,29.9,1.4,1.7,81.9,0.5,2.4,2.9,2.2,1.1,1.3,0.3,2.2,20.7,0,0,3,No
165,Aaron Holiday,IND,23,47,30,17,23.3,10.2,3.8,9,42.1,1.6,3.7,42,1,1.1,87,0.4,1.9,2.3,3.5,1.3,0.7,0.2,1.8,19.8,2,0,2.3,No
166,Brook Lopez,MIL,31,49,42,7,26.6,10.1,3.8,9,41.9,1.3,4.7,27.8,1.3,1.5,86.3,0.6,3.9,4.5,1.6,0.9,0.7,2.6,2.3,27,3,0,8.1,No
167,Tomas Satoransky,CHI,28,53,19,34,28.5,10.1,3.7,8.3,44.3,1.1,3.1,33.9,1.7,1.9,88,1,2.7,3.7,5.3,2,1.3,0.1,2,24.8,2,0,-0.2,No
168,OG Anunoby,TOR,22,50,36,14,29,10.1,4,8.3,48.9,1.2,3.4,36.3,0.7,1.1,64.9,1.1,4.3,5.4,1.6,1.2,1.1,0.7,2.4,22.8,4,0,3.5,No
169,Jae Crowder,MEM,29,45,20,25,29.4,9.9,3.3,8.9,36.8,1.7,5.9,29.3,1.7,2.1,78.9,0.9,5.3,6.2,2.8,1.2,1,0.3,1.9,24.4,5,0,-2.8,No
170,Derrick White,SAS,25,49,22,27,23.8,9.9,3.4,7.4,46,0.9,2.5,36.3,2.1,2.6,83.2,0.5,2.6,3.1,3.3,1.2,0.6,0.8,2.1,21.6,0,0,0.9,No
171,E'Twaun Moore,NOP,30,39,19,20,20,9.8,3.9,9.2,42.9,1.4,3.7,37.8,0.6,0.9,64.9,0.6,1.9,2.6,1.6,0.8,0.5,0.2,1.6,16.7,0,0,-0.1,No
172,Dejounte Murray,SAS,23,47,20,27,24.3,9.8,4.1,8.5,47.6,0.5,1.4,35.3,1.2,1.6,76.7,1.1,4.5,5.7,3.8,2,1.6,0.3,2.1,26,4,0,-3.6,No
173,George Hill,MIL,33,44,38,6,21.1,9.7,3.5,6.4,54.1,1.5,3,51.1,1.3,1.5,82.1,0.9,2.1,3,3,1,0.7,0.1,1.4,19.4,0,0,5,No
174,Rudy Gay,SAS,33,48,20,28,21.2,9.7,3.5,8,43.9,1,3,31.5,1.7,1.9,86,0.9,4.5,5.3,1.8,1.4,0.4,0.5,1.5,20.1,4,0,0.7,No
175,Thaddeus Young,CHI,31,52,19,33,23.6,9.7,3.9,8.9,44.4,1.1,3.3,34.1,0.7,1.1,58.6,1.4,3.3,4.6,1.8,1.5,1.2,0.3,1.9,20.8,0,0,-2.4,No
176,Shabazz Napier,DEN,28,36,9,27,23.8,9.6,3.2,7.9,40.3,1.3,4.4,29.6,2,2.4,81.8,0.5,2.6,3.1,5.2,2.1,1.1,0.2,1.7,22.9,2,1,-1.9,No
177,Dario Saric,PHX,25,48,20,28,24.8,9.6,3.6,8.1,44.2,1.2,3.9,31.4,1.2,1.4,85.3,1.5,4.5,6,1.9,1.2,0.6,0.3,2.2,21,8,0,-0.9,No
178,Kentavious Caldwell-Pope,LAL,26,50,38,12,25.6,9.6,3.4,7.3,47.1,1.4,3.5,41.6,1.3,1.6,81,0.6,1.5,2.2,1.8,0.9,0.7,0.2,1.8,16.8,0,0,3,No
179,Reggie Bullock,NYK,28,18,7,11,25.3,9.6,3.8,9.2,41.2,1.4,4.5,30.9,0.6,0.7,84.6,0.6,1.7,2.3,1.4,0.6,1.1,0,2.3,17.2,0,0,-2.8,No
180,Victor Oladipo,IND,27,4,1,3,22.9,9.5,3.3,13.3,24.5,1.3,6.8,18.5,1.8,2,87.5,0.3,1.3,1.5,2.3,1.3,0.5,0.3,0.5,15.7,0,0,-7.3,No
181,Derrick Favors,NOP,28,33,15,18,24,9.5,4.3,6.9,62.1,0,0.2,20,0.9,1.5,59.2,3.2,6.8,10,1.8,1.3,0.6,1.1,2.2,27.8,13,0,1.6,No
182,Dwight Powell,DAL,28,40,25,15,26.5,9.4,3.7,5.7,63.8,0.3,1,25.6,1.9,2.8,66.7,1.9,3.8,5.7,1.5,0.9,0.9,0.6,2.6,21.7,1,0,4.9,No
182,Kevin Porter Jr.,CLE,19,40,11,29,22.3,9.4,3.6,7.9,44.8,1,3,33.6,1.3,1.8,71.2,0.4,2.8,3.1,1.9,2,0.9,0.2,2.7,17.3,0,0,-5.9,No
184,Enes Kanter,BOS,27,38,24,14,18.7,9.4,4.1,6.8,60.1,0,0.1,20,1.2,1.8,66.7,3,5.2,8.2,1.1,1.1,0.4,0.9,1.8,23.7,7,0,4.2,No
185,Dorian Finney-Smith,DAL,26,51,31,20,29.6,9.4,3.3,7.2,46,1.6,4.2,38.7,1.2,1.6,72.3,2.1,3.5,5.7,1.5,0.9,0.7,0.5,2.2,21.1,3,0,3.6,No
186,Bobby Portis,NYK,24,52,16,36,20.9,9.4,3.7,8.6,43,1,2.9,34.7,1,1.3,73.9,1.4,3.9,5.3,1.5,1,0.5,0.2,1.7,19.1,5,0,-3.3,No
187,Elfrid Payton,NYK,25,33,12,21,27,9.4,4.2,9.7,43,0.4,1.6,24.1,0.6,1.2,48.8,1.2,3.4,4.6,6.8,1.9,1.6,0.4,2,29.1,4,1,-2.2,No
188,Larry Nance Jr.,CLE,27,43,10,33,25,9.3,3.8,7.2,52.8,1,2.8,35.5,0.8,1.2,64.7,1.7,5.5,7.3,2,1,0.8,0.4,1.6,23.9,8,0,-3.7,No
189,Dion Waiters,MIA,28,3,1,2,14,9.3,3.3,8.7,38.5,2.7,5.7,47.1,0,0.3,0,0,3.7,3.7,1,1,0,0.7,1.7,16.2,0,0,4,No
190,Malik Monk,CHA,22,49,15,34,20.3,9.3,3.5,8.2,42.8,0.9,3.4,26.6,1.3,1.6,81,0.5,2.3,2.8,2,1.3,0.4,0.3,1.4,16.5,1,0,-3.8,No
191,Maxi Kleber,DAL,28,50,30,20,25,9.2,3.2,6.9,46.1,1.7,4.3,38.4,1.1,1.3,89.1,1.6,3.7,5.4,1,0.7,0.3,1.1,2.2,20.5,1,0,2.9,No
192,Jarrett Culver,MIN,20,49,15,34,24.6,9.1,3.6,9.4,38.6,1,3.7,27.2,0.9,1.9,45.3,1.1,2.3,3.4,1.9,1.3,1,0.7,2,19.8,0,0,-1.2,No
193,Cam Reddish,ATL,20,46,12,34,26,9.1,3.2,9,34.9,1.3,4.1,30.9,1.5,2,78.9,0.7,3.1,3.8,1.5,1.6,1,0.5,2.2,18.8,0,0,-5.3,No
194,Donte DiVincenzo,MIL,23,46,42,4,22.7,9.1,3.5,7.6,45.6,1.2,3.6,34.1,0.9,1.2,76.8,1,3.7,4.7,2.3,1.2,1.5,0.3,1.7,22.3,0,0,8.3,No
195,Mitchell Robinson,NYK,21,48,15,33,22.5,9.1,3.9,5.3,72.3,0,0,0,1.4,2.3,60.2,2.7,3.9,6.6,0.6,0.6,0.9,1.8,3.3,25.2,3,0,-3,No
196,Zach Collins,POR,22,3,2,1,28.8,9,3,6.3,47.4,1,2.3,42.9,2,2,100,1.3,2.7,4,2,2,0,0.7,3.7,16.8,0,0,6.3,No
197,Anfernee Simons,POR,20,52,24,28,22.5,9,3.4,8.3,40.9,1.1,3.4,32.2,1.1,1.4,80.3,0.4,2,2.4,1.5,1,0.3,0.2,2,14.6,1,0,-4.2,No
198,Svi Mykhailiuk,DET,22,46,16,30,22.2,8.9,2.9,6.8,43.3,2,4.8,42.5,1,1.2,85.2,0.3,1.4,1.7,1.7,1,0.6,0.1,1.5,14.5,0,0,0.5,No
199,Bruce Brown,DET,23,50,18,32,27.5,8.9,3.4,7.5,45.1,0.6,1.7,34.5,1.6,2.2,71.6,1,3.3,4.3,4,1.7,1.1,0.5,2.7,23.3,2,0,-2,No
200,Derrick Jones Jr.,MIA,22,36,24,12,24.7,8.9,3.2,6.5,49.4,0.7,2.6,28.3,1.7,2.2,79.5,1,3.3,4.3,1,0.6,1,0.7,2.2,20.2,0,0,-0.8,No
201,J.J. Barea,DAL,35,16,8,8,15.4,8.9,3.4,7.6,45.5,1.4,3,45.8,0.6,0.6,100,0.5,1.4,1.9,3.6,1.3,0.2,0.1,0.7,16,0,0,1.9,No
202,Furkan Korkmaz,PHI,22,51,30,21,20.9,8.8,3.2,7.6,41.6,1.8,4.8,37.7,0.7,0.9,72.9,0.2,1.9,2.2,0.9,0.7,0.5,0.2,1.5,14.3,0,0,1.5,No
203,Danny Green,LAL,32,49,37,12,25,8.8,3.1,7.4,42.3,1.9,5.1,37.8,0.6,0.9,71.4,0.8,2.8,3.6,1.4,0.9,1.3,0.5,2.2,19.6,0,0,5.2,No
204,Alex Len,ATL,26,40,9,31,18.6,8.7,3.6,6.5,54.6,0.4,1.4,25,1.3,2,63,1.7,4,5.8,1.1,1,0.5,0.8,2.3,20.2,7,0,-3.3,No
205,Austin Rivers,HOU,27,47,32,15,23.7,8.6,3.1,7.4,42.3,1.4,4,34,1,1.5,66.7,0.4,2.1,2.5,1.6,0.6,0.7,0.2,1.9,16,0,0,2.3,No
206,Josh Okogie,MIN,21,48,15,33,24.4,8.5,2.7,6.6,40.8,0.6,2.6,24.4,2.5,3.2,78.3,1.4,3,4.4,1.6,1.5,1.1,0.4,2.2,19.3,0,0,-2.2,No
207,Patrick Beverley,LAC,31,40,30,10,28,8.5,3.1,7.3,43,1.6,4.4,36.4,0.6,1,63.2,1.3,4.5,5.8,4,1.4,1.2,0.6,3.2,25.5,4,0,5.1,No
208,Justin Holiday,IND,30,51,31,20,25.4,8.4,2.9,6.7,43.7,1.9,4.4,42.7,0.7,0.9,76.6,0.5,2.9,3.4,1.5,0.5,1.1,0.6,1.8,19.3,0,0,1.6,No
209,Draymond Green,GSW,29,39,10,29,29,8.4,3,7.7,39.1,0.9,3.1,28.3,1.5,2.1,75,0.6,5.7,6.3,6.1,2.2,1.4,0.8,2.6,29.7,8,2,-5.1,No
210,Nerlens Noel,OKC,25,42,26,16,19.1,8.3,3.3,4.9,68.3,0,0.1,33.3,1.6,2,80.5,1.7,3.6,5.3,1.2,1,1.1,1.5,2.5,23.2,3,0,0.2,No
211,Monte Morris,DEN,24,52,36,16,20.9,8.2,3.3,7.4,45.1,0.8,2.1,39.1,0.8,0.9,81.3,0.3,1.5,1.8,3.6,0.7,0.7,0.2,0.9,17.8,0,0,0.9,No
212,Jalen Brunson,DAL,23,51,31,20,17.7,8.2,3.2,6.9,46.6,0.7,2.1,34.9,1.1,1.3,80.9,0.4,2,2.4,3.3,1.1,0.4,0.1,1.3,16.4,2,0,3.3,No
213,Jaxson Hayes,NOP,19,49,21,28,18.4,8.1,3,4.5,66.2,0,0.1,25,2.1,3.3,62.2,1.6,2.8,4.4,1,0.8,0.4,1,2.6,18.5,3,0,-0.6,No
214,Ivica Zubac,LAC,22,51,36,15,17.9,8.1,3.2,5.5,58.7,0,0,0,1.6,2.2,73.5,2.6,4.5,7.1,1,0.8,0.2,1,2.3,20.8,6,0,2.5,No
215,Daniel Theis,BOS,27,45,30,15,22.6,8.1,3.3,6,55,0.4,1.3,31.7,1,1.5,70.1,2,4.1,6.1,1.6,0.8,0.7,1.4,3.3,23.1,3,0,3.5,No
216,Jahlil Okafor,NOP,24,26,8,18,15.8,8.1,3.3,5.4,61.4,0,0.1,50,1.4,2.2,64.9,1.7,2.7,4.3,1.3,1.4,0.2,0.7,2.4,16.7,2,0,-3.9,No
217,Avery Bradley,LAL,29,36,25,11,23,8,3.4,7.5,44.8,0.9,2.9,33,0.4,0.4,81.3,0.4,1.9,2.3,1.1,1,0.8,0.1,2.3,14.1,0,0,2.5,No
218,Michael Porter Jr.,DEN,21,39,29,10,14.2,8,3.1,6.1,50.8,1,2.3,43.2,0.8,1,79.5,1.1,3.3,4.4,0.7,0.8,0.4,0.5,1.7,16.3,5,0,1,No
219,Tony Snell,DET,28,46,17,29,26.9,8,2.8,6.4,44.4,1.8,4.4,41.1,0.5,0.5,100,0.1,1.7,1.8,1.7,0.5,0.5,0.2,1.6,14.3,0,0,-2.9,No
220,De'Anthony Melton,MEM,21,38,19,19,18,7.9,2.9,6.3,45.6,0.5,1.7,30.8,1.6,1.9,83.8,0.7,3.1,3.7,3,1.5,1.3,0.3,1.8,20.3,0,0,3.5,No
221,Marquese Chriss,GSW,22,47,12,35,18.6,7.9,3,5.8,51.8,0.1,0.6,23.3,1.8,2.4,75.7,1.9,3.6,5.4,1.7,1.3,0.6,1,1.9,20.6,3,0,-3.8,No
222,Malik Beasley,MIN,23,41,26,15,18.2,7.9,2.9,7.3,38.9,1.4,3.9,36,0.8,0.9,86.8,0.2,1.7,1.9,1.2,0.9,0.8,0.1,1.2,13.8,0,0,0.7,No
223,Ian Mahinmi,WAS,33,29,11,18,22,7.9,2.9,5.7,50.6,0.2,0.8,22.7,1.9,3,63.6,2.2,3.9,6.1,1.4,1.4,0.8,1.3,3.1,22.3,1,0,-2.4,No
224,DeAndre Jordan,BKN,31,42,20,22,20.9,7.9,3.2,4.8,67.7,0,0,0,1.4,2,69.4,2.3,7.3,9.6,2,1.4,0.4,1,2,25,7,0,-1.8,No
225,Chandler Hutchison,CHI,23,26,8,18,18,7.8,2.8,5.9,48.1,0.4,1.3,30.3,1.8,2.8,62.2,0.6,3.1,3.7,0.8,1,1,0.2,1.6,16.2,0,0,-4.7,No
226,Kent Bazemore,SAC,30,50,22,28,24.8,7.8,2.6,7.4,34.8,1.2,3.7,32.6,1.5,1.9,79.6,0.4,3.6,4,1.3,1.4,1,0.7,2.8,18.3,0,0,-0.8,No
227,Cameron Johnson,PHX,23,38,16,22,19.8,7.8,2.7,6.4,42,1.7,4.4,39.8,0.7,0.9,75,0.9,2.1,3.1,0.9,0.6,0.4,0.3,1.5,14.6,0,0,-2.1,No
228,Kelly Olynyk,MIA,28,44,31,13,19.8,7.8,2.6,5.6,45.9,1.3,3.2,40.1,1.3,1.5,86.8,0.7,3.9,4.6,1.3,1,0.6,0.3,2.5,16.9,2,0,0.4,No
229,Marc Gasol,TOR,35,35,27,8,27.8,7.8,2.8,6.6,42.4,1.4,3.5,40.3,0.7,1,72.2,0.8,5.6,6.5,3.5,1.2,0.8,0.9,2.9,24.7,3,0,6.9,No
230,Jeff Green,UTA,33,30,18,12,18.4,7.8,2.5,6.5,38.5,1.1,3.5,32.7,1.6,2.1,77.8,0.5,2.2,2.7,0.7,0.9,0.4,0.3,1.5,13.3,0,0,-3.6,No
231,Terence Davis,TOR,22,51,37,14,17,7.8,2.8,5.9,48.3,1.4,3.3,41.8,0.7,0.7,92.1,0.7,2.7,3.4,1.8,1,0.5,0.2,1.6,15.7,1,0,4.9,No
232,Mikal Bridges,PHX,23,51,20,31,25.2,7.6,2.8,5.7,50,0.6,2,31.1,1.3,1.6,81,0.9,3.1,3.9,1.6,1,1.4,0.5,2.2,19.7,0,0,0.9,No
233,Omari Spellman,GSW,22,49,11,38,18.1,7.6,2.6,6,43.1,0.9,2.2,39.1,1.5,1.9,79.3,1.6,2.9,4.5,1,1.1,0.7,0.5,1.3,16.7,1,0,-2.9,No
234,P.J. Tucker,HOU,34,51,33,18,35.2,7.5,2.7,6.1,44,1.5,4.1,36.7,0.7,0.8,83.3,1.6,5.6,7.2,1.6,1.1,1.2,0.4,3.4,22.2,6,0,2.7,No
235,Dwight Howard,LAL,34,50,38,12,19.6,7.5,3.1,4.2,73.3,0.1,0.1,60,1.3,2.7,46.7,2.5,5.1,7.6,0.7,1.2,0.4,1.4,3.2,21.9,6,0,2.9,No
236,Bismack Biyombo,CHA,27,43,13,30,19.1,7.5,2.9,5.4,53.7,0,0,0,1.7,2.7,61.9,2.3,3.5,5.9,0.8,0.9,0.2,0.8,2.2,18,6,0,-2.7,No
237,Rondae Hollis-Jefferson,TOR,25,39,27,12,19.5,7.4,2.7,5.9,46.5,0.1,0.4,14.3,1.9,2.6,73.3,2.1,2.8,4.9,1.7,1,0.9,0.4,2.1,18.9,2,0,1.6,No
238,Wesley Matthews,MIL,33,48,41,7,24.4,7.4,2.5,6.1,41.3,1.6,4.2,37.5,0.8,1.1,76.5,0.2,2.2,2.4,1.4,0.7,0.6,0.2,1.5,14.1,0,0,7,No
239,Gorgui Dieng,MIN,30,46,13,33,16.9,7.4,2.7,6,44.8,1,2.6,38.3,1,1.3,79.7,1.6,4,5.6,1.3,1,0.8,0.9,1.9,20.2,6,0,-2.2,No
240,Delon Wright,DAL,27,49,30,19,21.1,7.4,2.8,5.9,47.2,0.7,1.8,38.4,1.1,1.4,78.9,1.1,2.8,3.9,3.2,0.9,1.1,0.3,1.3,20.5,1,0,0.2,No
241,Ersan Ilyasova,MIL,32,47,40,7,16,7.4,2.7,5.5,48.3,0.9,2.4,37.5,1.2,1.4,82.4,1.1,4,5.1,0.9,0.6,0.4,0.3,1.5,16.3,4,0,2.6,No
242,Jordan Poole,GSW,20,45,10,35,21,7.4,2.3,8.3,28.2,1.2,4.5,26.4,1.6,1.9,82.4,0.1,1.8,1.9,1.9,1,0.6,0.2,1.6,14.1,0,0,-3.1,No
242,Rajon Rondo,LAL,33,35,26,9,21,7.4,2.9,7.1,41.2,0.9,2.7,31.9,0.7,0.9,74.2,0.5,2.9,3.4,5.4,2.1,0.8,0.1,1.1,20.2,2,0,1.1,No
244,Willie Cauley-Stein,DAL,26,46,11,35,21.9,7.4,3.3,5.9,55.7,0,0,0,0.8,1.3,61,1.7,4.4,6.1,1.4,0.8,1,1.2,2.5,22.7,2,0,-3.1,No
245,Mason Plumlee,DEN,29,43,30,13,17.4,7.4,3,4.9,60.5,0,0.1,0,1.5,2.7,55.3,1.8,3.7,5.6,2.4,1.5,0.5,0.6,2.2,19.7,2,0,0.1,No
246,Grayson Allen,MEM,24,30,14,16,16.6,7.4,2.6,5.9,44.9,1.1,3,36.3,1,1.2,85.7,0.2,2,2.2,1.4,0.8,0.2,0,1.2,12.1,0,0,-2.4,No
247,JaVale McGee,LAL,32,48,37,11,16.9,7.3,3.2,4.9,64.6,0.1,0.1,50,0.9,1.4,64.2,2,3.9,5.8,0.7,0.8,0.5,1.6,2.3,21.1,2,0,3.4,No
248,Ky Bowman,GSW,22,37,9,28,22.3,7.3,2.9,7.1,40.9,0.8,2.4,34.4,0.6,0.8,82.8,0.5,2.1,2.5,2.8,1.3,1,0.1,2.2,16.6,0,0,-2.3,No
249,Anzejs Pasecniks,WAS,24,19,6,13,19.5,7.3,2.8,5.4,52.9,0,0.1,0,1.6,2.6,62,1.9,3,4.9,0.9,1.2,0.4,0.5,3.1,16.3,0,0,0.2,No
250,Kris Dunn,CHI,25,51,19,32,24.9,7.3,3,6.7,44.4,0.6,2.2,25.9,0.8,1.1,74.1,0.5,3.2,3.6,3.4,1.3,2,0.3,3.1,22.4,0,0,-0.6,No
251,Emmanuel Mudiay,UTA,23,43,29,14,16.2,7.2,2.9,6.1,46.9,0.6,1.6,34.8,0.9,1.3,72.7,0.3,2.1,2.4,2.4,1.4,0.4,0.2,1.3,14,0,0,0.4,No
252,Sekou Doumbouya,DET,19,25,9,16,20,7,2.6,6.3,41.8,0.8,2.5,30.2,1,1.4,69.4,0.6,2.7,3.3,0.4,1,0.6,0.3,2.2,13.2,2,0,-1.8,No
253,Kevin Knox II,NYK,20,51,16,35,18.6,7,2.4,6.5,36.7,1.1,3.3,32.5,1.1,1.7,65.1,0.4,2.6,3,1,0.6,0.4,0.4,1.5,13.7,0,0,-3.6,No
254,Shake Milton,PHI,23,19,11,8,15.4,6.9,2.4,5.3,45,0.9,2.8,34,1.2,1.6,76.7,0.2,2,2.2,1.5,1.2,0.4,0.1,1.9,12.1,0,0,-1.3,No
255,Damyean Dotson,NYK,25,44,14,30,17.6,6.9,2.6,6,42.5,1.2,3.4,36,0.5,0.7,68.8,0.2,1.7,1.8,1.2,0.5,0.5,0.1,0.9,12.1,0,0,-1.6,No
